"","date","calburned","steps","distance","floors","minsed","minlight","minmod","minintense","activitycal","sleepmin","awakemin","awakings","restmin","sleepeff","Season","sleephours"
"135",2015-09-14,2947,9564,7.11,16,1118,168,43,46,1355,0,0,0,0,NA,"fall",0
"136",2015-09-15,2821,9019,6.7,13,755,144,72,25,1247,426,17,11,444,96.1625282167043,"fall",7.1
"137",2015-09-16,3041,10239,7.61,13,675,192,35,46,1464,423,40,27,478,91.3606911447084,"fall",7.05
"138",2015-09-17,2796,7739,5.75,14,741,211,17,10,1140,407,41,29,457,90.8482142857143,"fall",6.78333333333333
"139",2015-09-18,2978,12620,9.38,9,773,170,59,39,1419,393,58,30,452,87.139689578714,"fall",6.55
"140",2015-09-19,3160,14226,10.57,11,669,291,35,41,1736,396,35,24,433,91.8793503480278,"fall",6.6
"141",2015-09-20,2325,3858,2.87,1,1255,185,0,0,700,0,0,0,0,NA,"fall",0
"142",2015-09-21,3458,17603,13.08,35,1053,223,56,67,1912,0,0,0,0,NA,"fall",0
"143",2015-09-22,2988,10699,7.95,17,655,252,32,21,1471,395,35,17,430,91.8604651162791,"fall",6.58333333333333
"144",2015-09-23,2561,7261,5.39,17,908,135,14,18,869,420,36,17,456,92.1052631578947,"fall",7
"145",2015-09-24,3159,10608,7.88,17,1107,177,63,52,1600,0,0,0,0,NA,"fall",0
"146",2015-09-25,3193,12271,9.12,7,548,323,34,24,1799,434,35,16,469,92.5373134328358,"fall",7.23333333333333
"147",2015-09-26,2934,9998,7.45,2,782,327,0,0,1431,359,54,30,414,86.9249394673123,"fall",5.98333333333333
"148",2015-09-27,2589,5757,4.28,1,800,270,0,0,1033,265,20,10,285,92.9824561403509,"fall",4.41666666666667
"149",2015-09-28,2874,8995,6.68,13,826,171,45,33,1290,411,38,23,450,91.5367483296214,"fall",6.85
"150",2015-09-29,2757,7553,5.61,13,789,163,54,15,1146,309,39,26,348,88.7931034482759,"fall",5.15
"151",2015-09-30,2714,6494,4.83,11,711,208,26,5,1092,477,27,16,504,94.6428571428571,"fall",7.95
"152",2015-10-01,2712,7951,5.91,11,667,191,40,9,1126,403,45,27,448,89.9553571428571,"fall",6.71666666666667
"153",2015-10-02,2809,7424,5.52,8,801,179,43,25,1206,431,39,28,470,91.7021276595745,"fall",7.18333333333333
"154",2015-10-03,2322,6813,5.06,0,1325,75,41,9,667,0,0,0,0,NA,"fall",0
"155",2015-10-04,2319,3991,2.97,1,1136,163,0,0,645,108,7,5,115,93.9130434782609,"fall",1.8
"156",2015-10-05,2859,9725,7.23,6,988,268,24,14,1378,78,3,2,81,96.2962962962963,"fall",1.3
"157",2015-10-06,2978,8936,6.64,16,780,205,46,27,1383,397,66,35,463,85.7451403887689,"fall",6.61666666666667
"158",2015-10-07,2678,6565,4.88,10,841,157,27,20,1009,387,17,8,404,95.7920792079208,"fall",6.45
"159",2015-10-08,2767,7865,5.84,15,1118,204,32,13,1178,0,0,0,0,NA,"fall",0
"160",2015-10-09,2549,8718,6.48,10,976,65,0,0,258,407,65,33,472,86.228813559322,"fall",6.78333333333333
"161",2015-10-10,2918,12364,9.22,0,1046,234,29,32,1423,92,7,6,99,92.9292929292929,"fall",1.53333333333333
"162",2015-10-11,2509,5216,3.88,1,1243,175,17,5,878,0,0,0,0,NA,"fall",0
"163",2015-10-12,2687,6580,4.89,10,1246,104,57,33,1059,0,0,0,0,NA,"fall",0
"164",2015-10-13,2698,7015,5.21,10,1244,130,37,29,1036,0,0,0,0,NA,"fall",0
"165",2015-10-14,2621,8103,6.02,5,1219,215,4,2,1017,0,0,0,0,NA,"fall",0
"166",2015-10-15,2698,6962,5.17,11,1234,115,57,28,1075,0,0,0,0,NA,"fall",0
"167",2015-10-16,3295,16478,12.3,12,643,304,8,43,1833,326,29,16,355,91.830985915493,"fall",5.43333333333333
"168",2015-10-17,2871,11603,8.62,3,732,236,38,22,1384,444,57,33,505,88.622754491018,"fall",7.4
"169",2015-10-18,2899,11429,8.49,0,962,269,8,17,1390,142,9,6,151,94.0397350993377,"fall",2.36666666666667
"170",2015-10-19,2581,6293,4.68,1,854,226,0,0,956,347,45,29,393,88.5204081632653,"fall",5.78333333333333
"171",2015-10-20,2672,7269,5.4,14,1290,105,22,23,791,0,0,0,0,NA,"fall",0
"172",2015-10-21,2406,4471,3.32,2,1134,165,0,0,686,0,0,0,0,NA,"fall",0
"173",2015-10-22,3410,17913,13.31,7,1053,210,39,75,1851,136,21,10,157,86.6242038216561,"fall",2.26666666666667
"174",2015-10-23,2511,5431,4.04,1,678,166,9,13,808,209,14,6,223,93.7219730941704,"fall",3.48333333333333
"175",2015-10-24,2907,11672,8.67,0,663,222,48,29,1401,365,19,14,384,95.0520833333333,"fall",6.08333333333333
"176",2015-10-25,3435,14777,10.98,0,597,302,57,39,1943,151,16,10,167,90.4191616766467,"fall",2.51666666666667
"177",2015-10-26,2931,9171,6.81,9,767,273,30,7,1414,226,24,15,250,90.4,"fall",3.76666666666667
"178",2015-10-27,2867,8807,6.54,11,810,224,29,12,1275,405,44,23,449,90.2004454342984,"fall",6.75
"179",2015-10-28,2470,5623,4.18,2,779,170,19,3,817,276,28,14,304,90.7894736842105,"fall",4.6
"180",2015-10-29,3109,12910,9.59,20,1091,258,24,20,1519,0,0,0,0,NA,"fall",0
"181",2015-10-30,2942,8805,6.54,12,821,170,51,29,1264,155,8,5,163,95.0920245398773,"fall",2.58333333333333
"182",2015-10-31,2736,7107,5.28,0,510,277,0,0,1162,383,41,23,424,90.3301886792453,"fall",6.38333333333333
"183",2015-11-01,2395,3862,2.87,0,889,166,0,0,661,319,15,7,334,95.5089820359281,"fall",5.31666666666667
"184",2015-11-02,2590,7368,5.47,13,1279,126,22,13,777,0,0,0,0,NA,"fall",0
"185",2015-11-03,2403,6269,4.66,9,1430,10,0,0,37,0,0,0,0,NA,"fall",0
"186",2015-11-04,2917,8520,6.33,14,662,191,43,24,1294,345,41,21,386,89.3782383419689,"fall",5.75
"187",2015-11-05,2851,8116,6.03,13,827,228,37,8,1258,383,47,28,431,89.0697674418605,"fall",6.38333333333333
"188",2015-11-06,2820,8268,6.14,14,776,145,75,22,1218,391,23,11,414,94.4444444444444,"fall",6.51666666666667
"189",2015-11-07,3690,14489,10.77,0,525,280,52,68,2285,231,26,15,257,89.8832684824903,"fall",3.85
"190",2015-11-08,3067,9212,6.84,2,508,198,27,53,1510,526,30,17,556,94.6043165467626,"fall",8.76666666666667
"191",2015-11-09,2828,9500,7.06,0,756,218,28,13,1225,369,62,37,440,85.614849187935,"fall",6.15
"192",2015-11-10,3336,11151,8.29,1,705,198,40,79,1799,291,46,26,337,86.3501483679525,"fall",4.85
"193",2015-11-11,2867,12351,9.18,1,981,181,66,24,1353,143,8,5,151,94.7019867549669,"fall",2.38333333333333
"194",2015-11-12,2847,10670,7.93,1,684,162,17,61,1228,503,50,31,553,90.9584086799277,"fall",8.38333333333333
"195",2015-11-13,2460,5574,4.14,1,1209,156,8,16,778,0,0,0,0,NA,"fall",0
"196",2015-11-14,3445,11587,8.61,4,608,159,41,103,1953,524,32,14,556,94.2446043165468,"fall",8.73333333333333
"197",2015-11-15,2853,9499,7.06,2,738,167,28,44,1219,269,36,21,307,88.1967213114754,"fall",4.48333333333333
"198",2015-11-16,3590,13788,10.53,18,978,282,31,61,1990,0,0,0,0,NA,"fall",0
"199",2015-11-17,3792,18361,13.72,33,543,366,73,42,2462,378,32,23,410,92.1951219512195,"fall",6.3
"200",2015-11-18,3222,14055,10.44,10,673,268,53,27,1771,424,31,24,462,93.1868131868132,"fall",7.06666666666667
"201",2015-11-19,3092,11927,8.86,9,726,305,21,37,1650,353,33,26,386,91.4507772020725,"fall",5.88333333333333
"202",2015-11-20,3395,15221,11.31,6,464,316,40,58,2004,444,46,25,490,90.6122448979592,"fall",7.4
"203",2015-11-21,2802,8568,6.42,1,1174,249,3,14,1209,0,0,0,0,NA,"fall",0
"204",2015-11-22,2177,3284,2.44,0,1269,98,3,8,477,0,0,0,0,NA,"fall",0
"205",2015-11-23,3035,9408,6.99,1,682,295,31,14,1552,244,32,16,276,88.4057971014493,"fall",4.06666666666667
"206",2015-11-24,2843,10261,7.62,1,1182,210,2,46,1262,0,0,0,0,NA,"fall",0
"207",2015-11-25,2829,8218,6.11,22,1142,155,50,22,1177,69,2,1,71,97.1830985915493,"fall",1.15
"208",2015-11-26,3076,9760,7.25,13,1130,214,61,30,1502,0,0,0,0,NA,"fall",0
"209",2015-11-27,3242,10769,8,17,725,222,60,42,1711,325,22,17,348,93.6599423631124,"fall",5.41666666666667
"210",2015-11-28,3254,11671,8.7,5,643,375,7,15,1776,404,43,32,448,90.3803131991051,"fall",6.73333333333333
"211",2015-11-29,3247,14444,10.73,14,618,258,39,51,1821,328,33,22,362,90.8587257617729,"fall",5.46666666666667
"212",2015-11-30,4012,23313,17.32,16,550,389,67,75,2743,352,37,24,397,90.4884318766067,"fall",5.86666666666667
"213",2015-12-01,3232,16810,12.49,14,750,152,9,97,1618,275,31,14,306,89.8692810457516,"winter",4.58333333333333
"214",2015-12-02,3125,10745,8.01,10,634,174,48,62,1559,398,44,33,442,90.0452488687783,"winter",6.63333333333333
"215",2015-12-03,3165,10784,8.04,14,774,201,25,68,1600,271,37,21,308,87.987012987013,"winter",4.51666666666667
"216",2015-12-04,2835,10740,8.08,11,1100,146,39,52,1271,0,0,0,0,NA,"winter",0
"217",2015-12-05,2872,8531,6.36,0,723,325,0,0,1354,268,8,4,276,97.1014492753623,"winter",4.46666666666667
"218",2015-12-06,3072,12738,9.46,10,811,244,45,35,1579,196,19,7,215,91.1627906976744,"winter",3.26666666666667
"219",2015-12-07,3107,13520,10.07,13,672,261,13,50,1603,232,11,6,243,95.4732510288066,"winter",3.86666666666667
"220",2015-12-08,3801,15884,11.83,2,962,248,25,123,2393,0,0,0,0,NA,"winter",0
"221",2015-12-09,3062,10026,7.45,17,803,204,29,38,1449,318,38,31,369,89.3258426966292,"winter",5.3
"222",2015-12-10,3044,11868,8.84,17,1190,170,26,54,1411,0,0,0,0,NA,"winter",0
"223",2015-12-11,3082,12381,9.22,17,1096,212,30,52,1503,0,0,0,0,NA,"winter",0
"224",2015-12-12,2766,7157,5.32,11,605,290,0,0,1216,464,58,35,522,88.8888888888889,"winter",7.73333333333333
"225",2015-12-13,2787,7055,5.24,2,690,248,19,6,1182,279,21,20,303,93,"winter",4.65
"226",2015-12-14,2831,9348,6.99,18,827,179,22,42,1229,321,39,21,361,89.1666666666667,"winter",5.35
"227",2015-12-15,2711,8566,6.39,15,898,137,28,33,1038,242,12,6,254,95.2755905511811,"winter",4.03333333333333
"228",2015-12-16,2714,9786,7.27,20,1118,159,29,28,1110,102,4,2,106,96.2264150943396,"winter",1.7
"229",2015-12-17,2709,8371,6.22,18,1069,146,31,24,1050,161,9,4,170,94.7058823529412,"winter",2.68333333333333
"230",2015-12-18,2917,9428,7.01,10,1141,220,43,21,1331,0,0,0,0,NA,"winter",0
"231",2015-12-19,3110,13742,10.21,6,579,357,15,22,1734,440,42,22,482,91.2863070539419,"winter",7.33333333333333
"232",2015-12-20,3391,15636,11.73,2,550,316,56,23,1973,339,48,28,387,87.5968992248062,"winter",5.65
"233",2015-12-21,3145,12778,9.49,15,664,313,42,6,1678,388,16,10,404,96.039603960396,"winter",6.46666666666667
"234",2015-12-22,2636,7378,5.48,12,838,176,33,12,1044,419,19,11,438,95.662100456621,"winter",6.98333333333333
"235",2015-12-23,1789,0,0,0,1440,0,0,0,0,0,0,0,0,NA,"winter",0
"236",2015-12-24,2573,6452,4.79,0,1217,223,0,0,962,0,0,0,0,NA,"winter",0
"237",2015-12-25,2808,7837,5.82,0,663,332,0,0,1311,308,49,27,357,86.2745098039216,"winter",5.13333333333333
"238",2015-12-26,2626,6504,4.83,0,588,282,0,0,1089,488,46,27,534,91.3857677902622,"winter",8.13333333333333
"239",2015-12-27,2604,6444,4.84,1,746,252,0,0,1030,326,39,24,365,89.3150684931507,"winter",5.43333333333333
"240",2015-12-28,2845,7845,5.83,2,686,337,0,0,1359,207,31,18,238,86.9747899159664,"winter",3.45
"241",2015-12-29,3135,12260,9.11,11,636,375,3,26,1718,242,10,6,252,96.031746031746,"winter",4.03333333333333
"242",2015-12-30,3050,12154,9.05,9,617,276,6,45,1567,448,58,33,506,88.5375494071146,"winter",7.46666666666667
"243",2015-12-31,2856,7801,5.8,0,577,362,0,0,1394,541,31,13,572,94.5804195804196,"winter",9.01666666666667
