Date,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes
"03-01-2016","0","0","0","0"
"04-01-2016","380","52","31","432"
"05-01-2016","297","31","19","328"
"06-01-2016","354","43","22","397"
"07-01-2016","336","16","8","352"
"08-01-2016","306","17","10","323"
"09-01-2016","396","29","10","425"
"10-01-2016","0","0","0","0"
"11-01-2016","327","18","11","345"
"12-01-2016","254","36","18","290"
"13-01-2016","423","13","7","436"
"14-01-2016","345","29","19","374"
"15-01-2016","391","39","22","430"
"16-01-2016","400","41","27","441"
"17-01-2016","434","31","26","466"
"18-01-2016","325","11","5","336"
"19-01-2016","0","0","0","0"
"20-01-2016","468","37","24","507"
"21-01-2016","336","55","30","391"
"22-01-2016","458","63","36","521"
"23-01-2016","339","47","28","386"
"24-01-2016","342","48","31","390"
"25-01-2016","0","0","0","0"
"26-01-2016","357","35","22","392"
"27-01-2016","328","37","21","365"
"28-01-2016","385","41","27","427"
"29-01-2016","248","32","20","280"
"30-01-2016","410","26","14","436"
"31-01-2016","424","48","28","473"
"05-02-2016","401","18","14","420"
"06-02-2016","350","29","19","380"
"07-02-2016","316","15","7","331"
"08-02-2016","376","50","30","426"
"09-02-2016","342","41","21","383"
"10-02-2016","0","0","0","0"
"11-02-2016","333","22","15","355"
"12-02-2016","322","26","14","348"
"13-02-2016","448","55","29","503"
"14-02-2016","264","28","20","293"
"15-02-2016","0","0","0","0"
"16-02-2016","305","27","16","334"
"17-02-2016","309","12","7","321"
"18-02-2016","0","0","0","0"
"19-02-2016","317","17","9","334"
"20-02-2016","383","35","31","419"
"21-02-2016","347","45","32","393"
"22-02-2016","0","0","0","0"
"23-02-2016","243","23","9","266"
"24-02-2016","437","22","9","459"
"25-02-2016","382","35","21","417"
"26-02-2016","0","0","0","0"
"27-02-2016","0","0","0","0"
"28-02-2016","262","33","16","295"
"29-02-2016","166","14","7","180"
"01-03-2016","420","31","26","451"
"02-03-2016","327","34","22","361"
"03-03-2016","420","45","28","465"
"04-03-2016","157","10","5","167"
"05-03-2016","302","23","15","325"
"06-03-2016","0","0","0","0"
"07-03-2016","348","39","23","387"
"08-03-2016","267","31","18","299"
"09-03-2016","0","0","0","0"
"10-03-2016","334","29","18","364"
"11-03-2016","0","0","0","0"
"12-03-2016","275","13","10","288"
"13-03-2016","0","0","0","0"
"14-03-2016","0","0","0","0"
"15-03-2016","356","14","5","370"
"16-03-2016","368","46","22","414"
"17-03-2016","388","14","10","402"
"18-03-2016","223","33","17","256"
"19-03-2016","435","49","31","484"
"20-03-2016","383","35","23","427"
"21-03-2016","224","20","13","244"
"22-03-2016","274","35","26","319"
"23-03-2016","391","27","13","418"
"24-03-2016","254","32","13","286"
"25-03-2016","204","10","5","214"
"26-03-2016","64","5","4","69"
"27-03-2016","457","54","35","512"
"28-03-2016","0","0","0","0"
"29-03-2016","0","0","0","0"
"30-03-2016","321","40","21","361"
"31-03-2016","319","25","15","344"
"01-04-2016","337","51","23","388"
"02-04-2016","78","6","3","85"
"03-04-2016","315","45","23","360"
"04-04-2016","184","29","16","214"
"05-04-2016","425","25","8","450"
"06-04-2016","267","34","15","302"
"07-04-2016","359","14","7","373"
"08-04-2016","379","46","24","425"
"09-04-2016","507","18","10","525"
"10-04-2016","306","35","22","341"
"11-04-2016","407","50","26","457"
"12-04-2016","354","37","21","391"
"13-04-2016","365","65","31","430"
"14-04-2016","278","26","18","304"
"15-04-2016","396","50","20","446"
"16-04-2016","404","67","25","471"
"17-04-2016","0","0","0","0"
"18-04-2016","307","28","12","335"
"19-04-2016","0","0","0","0"
"20-04-2016","411","31","17","442"
"21-04-2016","341","27","17","368"
"22-04-2016","430","62","39","492"
"23-04-2016","305","42","28","348"
"24-04-2016","375","56","31","431"
"25-04-2016","237","28","14","265"
"26-04-2016","360","20","10","380"
"27-04-2016","361","49","27","410"
"28-04-2016","374","56","34","430"
"29-04-2016","348","20","9","368"
"30-04-2016","454","48","27","502"
"01-05-2016","347","41","20","388"
"02-05-2016","314","34","23","348"
"03-05-2016","377","33","18","410"
"04-05-2016","406","21","8","427"
"05-05-2016","280","35","15","315"
"06-05-2016","370","42","22","412"
"07-05-2016","502","57","31","563"
